id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
26665,VTSB,medium_airport,Surat Thani Airport,9.132599831,99.13559723,20,AS,Thailand,TH,Surat Thani Province,TH-84,84,Surat Thani,1,VTSB,URT,,,https://en.wikipedia.org/wiki/Surat_Thani_Airport,,750,2010-09-02T14:54:23+00:00
26648,VTCH,medium_airport,Mae Hong Son Airport,19.30130005,97.97579956,929,AS,Thailand,TH,Mae Hong Son Province,TH-58,58,,1,VTCH,HGN,,,https://en.wikipedia.org/wiki/Mae_Hong_Son_Airport,,750,2008-06-13T14:30:04+00:00
26661,VTPP,medium_airport,Phitsanulok Airport,16.78289986,100.2789993,154,AS,Thailand,TH,Phitsanulok Province,TH-65,65,,1,VTPP,PHS,,,https://en.wikipedia.org/wiki/Phitsanulok_Airport,,750,2008-06-13T14:30:04+00:00
26658,VTPM,medium_airport,Mae Sot Airport,16.69989967,98.54509735,690,AS,Thailand,TH,Tak Province,TH-63,63,,1,VTPM,MAQ,,,https://en.wikipedia.org/wiki/Mae_Sot_Airport,,750,2008-06-13T14:30:04+00:00
26660,VTPO,medium_airport,Sukhothai Airport,17.23800087,99.81819916,179,AS,Thailand,TH,Sukhothai Province,TH-64,64,,1,VTPO,THS,,,https://en.wikipedia.org/wiki/Sukhothai_Airport,,750,2008-06-13T14:30:04+00:00
26687,VTUU,medium_airport,Ubon Ratchathani Airport,15.25129986,104.8700027,406,AS,Thailand,TH,Ubon Ratchathani Province,TH-34,34,Ubon Ratchathani,1,VTUU,UBP,,,https://en.wikipedia.org/wiki/Ubon_Ratchathani_Airport,,750,2010-09-02T20:42:35+00:00
32595,VTBT,small_airport,Bang Phra Airport,13.232426,100.956802,90,AS,Thailand,TH,Chonburi Province,TH-20,20,Bang Phra,0,VTBT,,,http://www.thaiflyingclub.com/,,,50,2022-12-24T18:45:27+00:00
26655,VTPH,medium_airport,Hua Hin Airport,12.63619995,99.95149994,62,AS,Thailand,TH,Phetchaburi Province,TH-76,76,Hua Hin,1,VTPH,HHQ,,,https://en.wikipedia.org/wiki/Hua_Hin_Airport,,750,2010-02-21T14:25:46+00:00
26681,VTUK,medium_airport,Khon Kaen Airport,16.46660042,102.7839966,670,AS,Thailand,TH,Khon Kaen Province,TH-40,40,Khon Kaen,1,VTUK,KKC,,,https://en.wikipedia.org/wiki/Khon_Kaen_Airport,,750,2010-09-02T20:42:03+00:00
26677,VTST,medium_airport,Trang Airport,7.50874,99.6166,67,AS,Thailand,TH,Trang Province,TH-92,92,Trang,1,VTST,TST,,,https://en.wikipedia.org/wiki/Trang_Airport,,750,2021-01-21T15:40:17+00:00
26643,VTBO,medium_airport,Trat Airport,12.2746,102.319,105,AS,Thailand,TH,Trat Province,TH-23,23,Laem Ngop,1,VTBO,TDX,,,https://en.wikipedia.org/wiki/Trat_Airport,,500,2021-01-21T14:57:59+00:00
26683,VTUN,small_airport,Khorat Airport,14.9345,102.079002,729,AS,Thailand,TH,Nakhon Ratchasima Province,TH-30,30,Nakhon Ratchasima,0,VTUN,,,,https://en.wikipedia.org/wiki/Korat_Royal_Thai_Air_Force_Base,Korat Air Base,50,2021-01-21T15:01:54+00:00
